type,code,lake,latitude,longitude
Sediment,40590,Lake Waihau,-38.75513635,177.5546657
Sediment,44746,Lake Tomohawke 2,-45.90115936,170.550714
Sediment,44747,Lake Tomohawke 1 Lower,-45.60371521,170.6730616
Sediment,49176,Lake Okawhao,-37.5259469,175.1412514
Sediment,49294,Lake Whatihua,-37.2755257,174.6707172
Sediment,50704,Lake Hope,-45.1379969,168.8290299
Sediment,50710,Lake 50710,-45.1495908,168.8728829
Sediment,51754,Lake Troup,-45.4786,167.1311167
Sediment,51827,Lake Lucille,-45.49642048,167.2620433
Sediment,51931,Lake 51931,-45.5818,167.706
Sediment,52064,Lake 52064,-45.4719,167.71666
Sediment,52065,Lake Henry,-45.431,167.7172
Sediment,52117,Lake 52117,-45.453637,167.895436
Sediment,52167,Lake Norma,-45.33659188,167.2728932
Sediment,52177,Lake Freeman,-45.34454463,167.3379897
Sediment,52181,Lake Minerva,-45.3260034,167.3443788
Sediment,52268,Lake Eva,-45.28564,167.33633
Sediment,52269,Lake Ione,-45.27846,167.33675
Sediment,52380,Lake Cecil,-45.30439,167.3831
Sediment,52475,Lake Orbell,-45.29316,167.67046
Sediment,52487,Lake 52487,-45.34647,167.87068
Sediment,53145,Lake Nigel,-45.29487,168.42836
Sediment,53304,Blue Lake,-45.47713373,168.9278428
Sediment,53392,Lake Ned,-45.2873,168.4328
Sediment,53402,Acheron Lakes 2,-45.161854,168.094904
Sediment,53683,Lake 53683,-45.17985,168.831267
Sediment,53717,Lake 53717,-45.0777758,168.8220244
Sediment,53753,Lake 53753,-45.1847599,168.877445
Sediment,54039,Lake Luna,-44.9511879,168.4908059
Sediment,54132,Lake Diamond,-44.7380963,168.3750329
Sediment,L380.10,Lake Rotoparaoa,-43.813617,-176.59075
Sediment,L380.13,Lake Marakapia,-43.843056,-176.55361
Sediment,L380.14,Lake Rotoeka,-43.775556,-176.59333
Sediment,L380.4,Lake Forest,-37.77284,175.251105
Sediment,L380.5,Lake Rangitai,-43.765,-176.34639
Sediment,L380.6,Lake Huro,-43.93866,-176.51356
Sediment,L380.8,Lake Tennants,-43.825083,-176.57075
Water,23681,Lake Rotoroa,-35.05901108,173.1958266
Water,25748,Lake Mangarakau,-40.64985088,172.4836772
Water,7219,Sutton Salt Lake,-45.57714652,170.0873097
Water,24621,Lake Kihona,-34.62882,172.90179
Water,45688,Skifington Swamp,-43.425827,169.955011
Water,46138,Lake Greaney,-44.0930778,168.7847549
Water,48657,Lake Marymere,-43.117609,171.85544
Water,53545,Lake Dispute,-45.04641688,168.5479205
