ID,Lake,Region,Latitude,Longitude,Monitored TLI3,Monitored Trophic State,Single TLI3,Singe TLI3 Trophic State,SBTI,Confidence Interval,SBTI Trophic State
45472,Lake Dumb-bell,Canterbury,-44.28588729,169.7493006,,,2.65,Oligotrophic,2.20,0.25,Oligotrophic
45686,Lake Gault,West Coast,-43.430526,169.984864,,,2.92,Oligotrophic,2.55,0.35,Oligotrophic
46051,Lake Eyles,Southland,-45.25,167.4688,,,1.90,Microtrophic,2.52,0.27,Oligotrophic
46138,Lake Greaney,West Coast,-44.0930778,168.7847549,,,1.67,Microtrophic,2.41,0.22,Oligotrophic
46212,Lake Douglas,West Coast,-43.96692516,169.0915972,,,2.31,Oligotrophic,3.67,0.21,Mesotrophic
46493,Lake Duncan Steam 1,Canterbury,-44.01221492,170.0428026,,,2.65,Oligotrophic,2.82,0.23,Oligotrophic
46494,Lake Irish Stream,Canterbury,-43.992728,170.040978,,,1.55,Microtrophic,2.84,0.23,Oligotrophic
46496,Lake Duncan Stream 2,Canterbury,-44.017103,170.052358,,,2.19,Oligotrophic,3.15,0.18,Mesotrophic
46723,Lake Moeraki,West Coast,-43.73432,169.28694,,,2.82,Oligotrophic,3.55,0.16,Mesotrophic
46725,Lake Paringa,West Coast,-43.7211,169.401047,,,3.16,Mesotrophic,3.35,0.22,Mesotrophic
46774,Lake 46774,West Coast,-43.640618,169.737734,,,2.55,Oligotrophic,2.46,0.22,Oligotrophic
46775,Lake Rototekoiti,West Coast,-43.640516,169.768449,,,1.99,Microtrophic,3.49,0.14,Mesotrophic
46954,Alpine Lake,West Coast,-43.287757,170.138067,,,2.70,Oligotrophic,2.40,0.31,Oligotrophic
46959,Lake Mapourika,West Coast,-43.2979,170.2189,,,3.45,Mesotrophic,3.33,0.20,Mesotrophic
47198,Lake Mcgregor,Canterbury,-43.93584,170.4709,,,3.59,Mesotrophic,3.77,0.22,Mesotrophic
47225,Lake Hartley Tarn,Canterbury,-43.882706,170.441455,,,3.61,Mesotrophic,3.54,0.16,Mesotrophic
47491,Lake Ianthe,West Coast,-43.056407,170.625703,,,2.72,Oligotrophic,3.16,0.21,Mesotrophic
48216,Lake Henrietta,Canterbury,-43.22894,171.50015,,,3.37,Mesotrophic,3.84,0.18,Mesotrophic
48657,Lake Marymere,Canterbury,-43.117609,171.85544,,,2.37,Oligotrophic,3.75,0.21,Mesotrophic
49176,Lake Okawhao,Waikato,-37.5259469,175.1412514,,,6.07,Hypertrophic,5.93,0.24,Supertrophic
49186,Lake Rotongaro,Waikato,-37.4846277,175.1215381,,,6.20,Hypertrophic,5.98,0.31,Supertrophic
49294,Lake Whatihua,Auckland,-37.2755257,174.6707172,,,5.52,Supertrophic,4.43,0.13,Eutrophic
49295,Lake Puketi,Waikato,-37.2793676,174.6766993,,,3.91,Mesotrophic,4.17,0.15,Eutrophic
50335,Lake 50335,Northland,-36.29186933,174.0270525,,,4.03,Eutrophic,4.28,0.14,Eutrophic
50377,Lake Waingata,Northland,-36.35150918,174.1522515,,,3.27,Mesotrophic,4.09,0.15,Eutrophic
50704,Lake Hope,Otago,-45.1379969,168.8290299,,,1.78,Microtrophic,2.26,0.24,Oligotrophic
50710,Lake 50710,Otago,-45.1495908,168.8728829,,,2.65,Oligotrophic,2.14,0.27,Oligotrophic
51827,Lake Lucille,Southland,-45.49642048,167.2620433,,,2.40,Oligotrophic,2.19,0.25,Oligotrophic
51931,Lake 51931,Southland,-45.5818,167.706,,,5.44,Supertrophic,3.13,0.28,Mesotrophic
51958,Lake Richter,Southland,-45.485661,167.505399,,,2.12,Oligotrophic,2.17,0.27,Oligotrophic
52064,Lake 52064,Southland,-45.4719,167.71666,,,3.50,Mesotrophic,2.80,0.19,Oligotrophic
52065,Lake Henry,Southland,-45.431,167.7172,,,2.84,Oligotrophic,2.86,0.37,Oligotrophic
52115,Lake Thomas,Southland,-45.471818,167.949791,,,4.30,Eutrophic,3.39,0.18,Mesotrophic
