Lake,Code,Region,Date.Survey,Month.Sampled,Date.Rep.Survey,Latitude,Longitude,East_NZMG,North_NZMG,PRIMARY FENZ class ,GEOMORPHIC Class,MaxDepth,LakeArea,LakeVolume,lkElev,FENZ SumPress1A,FENZ SumPress1B,RegionalRa,Regional rank,National Rank,NationalCu,Natural_cover,Urban,Pasture,Landuse_Pressure,Impervious,InvasivePlants,InvasiveFish,DamEffectUpstream,DamEffectDownstream,DecTemp,DecSolrad,Fetch,SumWind,catBeech,catGlacial,catHard,catPeat,catPhos,catSlope,catAnnTemp,DirectDistCoast,ResidenceTime,MeanWind,Catch.flow,catJuneSolRad,catCalc,catPsize,catAlluv,Alpine.Grass,Indi.Hard,Built.up,Decid.Hard,Dep.Grass,Dune.Shrub,Estu.Wat,Exot.For,Fernland,Flaxland,For.Harv,Gorse,Gravel,Herb.FW.Veg,Herb.Sal.Veg,High.Prod.Exotic.Grass,Indi.For,Landslide,Low.Prod.Grass,Manuka,Matagouri,Mixed.Exo.Shrub,Orchard,Peat.Shrub,Per.Snow,River,Sand,Short.rot.Crop,Sub.Alp.Shrub,Mine,Tussock,Trans.Infra,Parkland,Max.Depth,Sampling.Depth ,Secchi.Disk,Thermocline,Altitude,Zooplankton.Net.Depth,Zooplankton.filtered,Phytoplankton.net.depth,Phytoplankton.filtered,WCS.Bul.TN,WCS.Bul.Nitrite,WCS.Bul.Nitrate,WCS.Bul.TKN,WCS.Bul.TP,WCS.Bul.TSS,WCS.Bul.VSS,WCS.DOC,WCS.TOC,WCS.DIN.Nitrite,WCS.DIN.Nitrate,WCS.DIN.Ammonia,WCS.DIN.DRP,WCS.Arsenic,WCS.Cadmium,WCS.Chromium,WCS.Copper,WCS.Lead,WCS.Mercury,WCS.Nickel,WCS.Zinc,WCS.Chla,BS.Bul.TN,BS.Bul.Nitrite,BS.Bul.Nitrate,BS.Bul.TKN,BS.Bul.TP,BS.Bul.TSS,BS.Bul.VSS,BS.DOC,BS.TOC,BS.DIN.Nitrite,BS.DIN.Nitrate,BS.DIN.Ammonia,BS.DIN.DRP,BS.Arsenic,BS.Cadmium,BS.Chromium,BS.Copper,BS.Lead,BS.Mercury,BS.Nickel,BS.Zinc,Data.Quality,TLI3,TL-P,TL-N,TL-Chl-a,Median-TP,Median-TN,Median-Chl-a,Chla-95,Bloom,Shallow/Deep,Monitored.Month.TN,Monitored.Month.TP,Monitored.Month.Chla,Days.Different,PW.DRP.concentration.DL,PW.TP,Ex.P.PW,PF.NH4Cl.P,PF.BD.P,PF.NaOH.rP,PF.Org.P,PF.HCl.P,PF.Res.P,PF.Total.P,PF.NH4Cl.P%,PF.BD.P%,PF.NaOH.rP%,PF.Org.P%,PF.HCl.P%,PF.Res.P%,Pot.Mob.P.SL,Pot.Mob.AL,Pot.Mob.AL.Org.P,EPC,AR.P.DW,AR.N.DW,AR.P,AR.N,Sys.for.Densities,Tot.BD.sedm.PW.g.cm3,Tot.BD.sedm.PW.kg.m3,DryBD.DW.g.cm3,DryBD.DW.,PW.density.g.cm3,PW.density.,AM.sedm.PW.g.cm2,AM.sedm.PW.kg.m2,AM.DW.g.cm2,AM.DW.kg.m2,AM.PW.g.cm2,AM.PW.kg.m2,Tot.PW,BulS.Ash,BulS.OM,BulS.Carbonates,BulS.TOC,BulS.TN,BulS.Iron,BulS.Manganese,BulS.Aluminium,BulS.Calcium,BulS.Lead,BulS.Copper,BulS.Cadmium,BulS.Zinc,BulS.Phosphorus,BulS.Sulfur,GS..63,GS.63.2mm,GS..2mm,TRR.Mn.Fe,TRR.TOC.TP,TRR.Al.Fe,TRR.AL.P,TRR.Fe.P,TN:TP,RSE.NaOH.Al.BD.Fe,RSE.NaOH.rP.BD.P,RSE.BD.Fe.TOC,RSE.TOC.Res.P,SI.d15N,SI.d13C,SI.C:N,BD.Fe.molar,NaOH.Al,Sieve0.05,Sieve0.06,Sieve0.12,Sieve0.24,Sieve0.49,Sieve0.98,Sieve2,Sieve3.9,Sieve7.8,Sieve15.6,Sieve31,Sieve37,Sieve44,Sieve53,Sieve63,Sieve74,Sieve88,Sieve105,Sieve125,Sieve149,Sieve177,Sieve210,Sieve250,Sieve300,Sieve350,Sieve420,Sieve500,Sieve590,Sieve710,Sieve840,Sieve1000,Sieve1190,Sieve1410,Sieve1680,Sieve2000,Sieve2380,Sieve2830,Sieve3360,Dx (10),Dx (50),Dx (90)
Lake Henry,52065,Southland,08/02/2019,February,,-45.431,167.7172,2096826,5517517,F,G,21.38,3.5,251240,218.16,0.327,0.238,199,10.917,2392,86.658,0.3326,0,61.26,0.17,4745.6753,0,18,0,0,14.27,2182.57,230,3.53,0,0,4,0,4,2.19,9.35,42657.05,530.6689409,3.174541593,172805.84,394,2,5,100,0,0,0,0,0,0,0,13.32510227,0,0,0,2.168637849,0,3.530586497,0,64.79960959,0,0,0,0,0,14.71246376,0,0,0,0,0,0,0,1.463600033,0,0,0,15.3,15.3,3.95,4.7,218,12,,12,,0.38,0.0011,0.014,0.37,0.011,<3,<3,5.7,6.4,<0.001,0.016,<0.005,<0.002,0.0007,0.00004,<0.0002,0.0005,0.00006,<0.0001,<0.0002,0.012,<0.00072,0.99,0.0023,<0.002,0.99,0.078,<3,<3,4,5.6,<0.001,<0.002,0.554,0.054,0.0007,<0.00001,<0.0002,<0.0002,<0.00005,<0.0001,<0.0002,0.0023,,,,,,,,,,,,,,,, ,,,10.98,214.5,62.9,575.6,49.05,420,1322,0,16.2,4.8,43.5,3.71,31.8,853,790,215, , , , , ,P,2.707,2707,0.118,118.1,2.588,2588,54132,54.1,2362,2.362,51770,51.8,95.6,11.9,88.1,6.5,40,3.2,4740,182,6010,6130,27.5,29,0.3,104,920,5200, , , ,0.039,1121.2,2.62,7.5,2.86,34.78,6.93,0.29,0.001,2456,,,,0.017,0.118323672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Thomas,52115,Southland,26/01/2019,January,,-45.471818,167.949791,2115008,5514165,F,R,23.9,28.9,2300959,488.83,0.937,0.702,16,0.238,125,1.17,0.948,0,26.86,0.06,0,0,17,0,0,13.1,2191.29,800,3.52,0,0,1.97,0,3.51,5.36,8.25,60679.37,1398.647007,3.172500014,600473.152,405.254386,1.84810126,2.53164554,48.5329094,0,0,0,0,0,0,0,2.408137389,0,0,0,3.238415862,0,11.77573564,0,37.42446323,0,0,0,0,40.47561752,0,0,0,0,0,0,0,0,0,4.677630365,0,0,3.1,2.1,1.8,????,194,,80,,80,0.55,<0.001,<0.002,0.55,0.024,<3,<3,6,7.5,<0.001,0.0021,<0.005,<0.002,<0.0005,0.00001,0.0002,0.0016,0.0001,<0.0001,0.0003,0.0089,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,27.23,317.7,283.7,429.5,12.97,320,1364,0,23.3,20.8,31.5,0.95,23.5,1031,747,318, , , , , ,P,1.064,1064,0.074,74,0.99,990,21288,21.3,1481,1.481,19807,19.8,93,49.6,50.4,2.5,26.5,2.7,9860,132,13000,4190,6.45,25.3,0.21,46.1,1410,3100, , , ,0.0136,484.7,2.73,10.58,3.88,19.15,3.6,0.89,0.002,2135.6,,,,0.039,0.139387063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake 52117,52117,Southland,1822019,February,,-45.453637,167.895436,2110886,5515885,W,S,,8.7,747569,376.96,WETLAND,WETLAND,0,0,0,0,WETLAND,,,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,,,,,,,,,,,,,,2.990284681,1221987.84,402.411255,2.15695071,2.64573979,64.1308518,0,0,0,0,0,0,0,4.838070668,0,0,0,0,0,15.03403554,0,35.11998543,1.118269946,0,17.03891876,0,6.347787745,0,0,0,0,0,0,0,0,0,20.5029319,0,0,0.5,0.5,NA,????,377,,20,,20,1.06,0.0012,<0.002,1.06,0.053,6,5,9.5,10.4,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0004,0.0002,<0.0001,<0.0002,0.0015,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.2,30.0689,29.60970352,950.4639629,302.4741916,792.5,33.85878486,510,2619,1.148,36.3,11.5,30.3,1.29,19.5,2076,1773,981,0.0087,114.27,448.17,298.9,1172.28,P,2.133,2133,0.131,130.8,2.002,2002,42652,42.7,2616,2.616,40036,40,93,46.1,53.9,1.1,27,No results,16700,317,10300,6060,39.5,13.9,0.35,51.9,2430,3100,16.77,83.23,0,0.0193,286.5,1.28,4.87,3.81,,0.86,0.32,0.006,1365.2,,,,0.139,0.119042247,0,0,0,0,0,0,0.11,0.85,2.28,4.94,9.48,11,12.65,14.64,16.77,19.01,21.78,25.02,28.61,32.65,36.97,41.56,46.62,52.28,57.39,63.86,70.36,76.67,83.49,89.09,93.82,97.2,99.27,100,100,100,100,100,33,279,865
Lake Norma,52167,Southland,28/01/2019,January,,-45.33659188,167.2728932,2061468,5525614,F,R,30.97,17.6,1812463,405.7,0.671,0.671,176,71.947,819,14.39,0.9953,0,0,1116.23,28.5139,0,0,0,0,12.44,2074.01,600,4.68,88.66,0,4.98,0,0.99,30.38,5.44,6294.31,4.024613795,5.107445717,164375806,385.329135,0.99887067,4.98757744,4.2704277,14.0176452,0.389859885,0,0,0,0,0,0,0,0,0,0,2.140294362,0.088881165,0,0,38.9241559,0.390078652,0,0,0,0,0,0,0,0,0,0,5.494723953,0,38.55436089,0,0,23,20.5,7.8,????,406,18,,18,,<0.1,<0.001,0.016,<0.1,0.019,<3,<3,2.5,2.3,<0.001,0.016,<0.005,<0.002,<0.0005,0.00001,<0.0002,0.0003,0.00007,<0.0001,<0.0002,0.0047,<0.0006,<0.1,<0.001,0.017,<0.1,0.021,<3,<3,2,1.9,<0.001,0.018,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0008,0.00009,<0.0001,<0.0002,0.0038,,,,,,,,,,,,,,,, ,,,0.0864,35.62,245.2,312.6,551.5,140,1285,0,2.8,19.1,24.3,42.92,10.9,593,348,36, , , , , ,P,1.353,1353,0.059,59.1,1.294,1294,27066,27.1,1181,1.181,25885,25.9,95.6,75.5,24.5,1.6,9.9,0.62,37700,376,23400,8550,9.68,61.1,0.23,82.7,1350,1500, , , ,0.0101,189.1,1.28,19.9,15.49,4.59,2.39,6.88,0.01,1823.6,,,,0.08,0.190834969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Freeman,52177,Southland,28/01/2019,January,,-45.34454463,167.3379897,2066482,5525226,G,G,26.29,10.5,923470,734.82,0.759,0.759,274,12.094,1202,34.577,0.9953,0,0,332.92,4075.1858,0,0,0,0,10.77,2070.87,570,4.63,34.58,0,5,0,1,27.46,5.15,11284.17,3.323116608,5.0941751,101430878,387.322111,1,5,NA,23.33790659,0,0,0,0,0,0,0,0,0,0,0,10.04744536,0,0,0,12.20476871,0.157826423,0,0,0,0,0,0,0,0,0,0,10.30207361,0,43.94997932,0,0,25.6,24.3,4.5,0.5,734,20,,20,,<0.1,<0.001,<0.002,<0.1,0.022,<3,<3,2,2.1,<0.001,<0.002,<0.005,<0.002,<0.0005,0.00002,<0.0002,0.0004,0.00007,<0.0001,<0.0002,0.013,<0.0006,<0.1,<0.001,<0.002,<0.1,0.017,<3,<3,1.8,1.9,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,<0.0002,0.00006,<0.0001,<0.0002,0.0053,,,,,,,,,,,,,,,, ,,,0.0804,39.77,99.19,182.3,332.3,24.5,678,0,5.9,14.6,26.9,49.01,3.6,321,222,40, , , , , ,P,2.257,2257,0.342,341.8,1.915,1915,45144,45.1,6837,6.837,38307,38.3,84.9,75.7,24.3,0.8,8.7,0.62,18800,246,18000,4580,13.7,26.1,0.048,48.5,870,980, , , ,0.0133,257.9,1.98,23.75,11.99,7.13,3.64,2.49,0.005,9157.4,,,,0.038,0.138601277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Minerva,52181,Southland,27/01/2019,January,,-45.3260034,167.3443788,2066947,5527210,G,G,25.95,16.9,1462986,779.92,0.867,0.867,158,9.802,751,14.002,0.9953,0,0,46.63,11.937,0,0,0,0,10.53,2069.81,605,4.85,25.22,0,5,0,1,26.75,5.05,11475.07,10.49075485,5.465086222,50901000.2,387.808905,1,5,NA,22.38284047,0,0,0,0,0,0,0,0,0,0,0,8.347301419,0,0,0,4.398658761,0.319150548,0,0,0,0,0,0,0,0,0,0,16.79188058,0,47.76016822,0,0,30,30,4.8,,780,,20,,20,<0.1,<0.001,<0.002,<0.1,0.013,<3,<3,1.7,2.2,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,0.0003,0.0006,0.0001,<0.0001,<0.0002,0.01,<0.0006,<0.1,<0.001,<0.002,<0.1,0.006,<3,<3,1.4,1.6,<0.001,<0.002,<0.005,<0.002,<0.0005,0.00006,<0.0002,0.0002,0.0001,<0.0001,<0.0002,0.0071,,,,,,,,,,,,,,,, ,,,0.0927,34.23,132,230.3,292.2,27,716,0,4.8,18.4,32.2,40.83,3.8,397,265,34, , , , , ,P,1.169,1169,0.259,259.2,0.909,909,23370,23.4,5184,5.184,18186,18.2,77.8,84.2,15.8,0.7,5.3,0.41,16300,244,20300,6740,14.7,19.7,0.048,48.1,590,460, , , ,0.0152,231.7,2.58,39.5,15.32,6.95,4.06,3.86,0.011,5062.1,,,,0.05,0.204000846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Eva,52268,Southland,11/02/2019,February,,-45.28564,167.33633,2066051,5531613,G,G,27.41,13.4,1219933,909.79,0.883,0.883,253,11.866,1117,24.79,0.9953,0,0,31.27,0,0,0,0,0,9.7,2110.03,612,4.77,9.86,0,5,0,1,25.05,4.97,11359.93,15.69513165,5.32224679,28370280.5,389.856678,1,5,NA,14.00780216,0,0,0,0,0,0,0,0,0,0,0,17.68149828,0,0,0,0.012089901,0,0,0,0,0,0,0,0,0,0,0,21.07080942,0,47.22780024,0,0,21.2,21.2,8.5,2.3,910,18,,18,,<0.1,<0.001,<0.002,<0.1,<0.005,<3,<3,2.2,2.8,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,<0.0002,<0.00005,<0.0001,<0.0002,0.0078,<0.00066,<0.1,<0.001,<0.002,<0.1,<0.005,<3,<3,1.1,1.7,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,<0.0002,<0.00005,<0.0001,<0.0002,<0.001,,,,,,,,,,,,,,,, ,,,2.258,91.07,243,613.2,17.78,270,1235,0,7.4,19.7,49.6,1.44,21.9,947,704,91, , , , , ,P,1.96,1960,0.186,186.2,1.774,1774,39198,39.2,3725,3.725,35474,35.5,90.5,78.2,21.8,2.1,9.2,1,19300,279,14400,4410,25.6,15.3,0.18,45.2,950,2400, , , ,0.0147,249.7,1.54,17.4,11.27,10.53,2.25,2.67,0.012,878.7,,,,0.092,0.208142116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Ione,52269,Southland,11/02/2019,February,,-45.27846,167.33675,2066017,5532266,G,G,24.75,17.7,1462855,914.82,0.913,0.913,136,7.596,691,13.614,0.9953,0,0,12.92,0,0,0,0,0,9.69,1896.16,780,4.85,13.91,0,5,0,1,26.81,4.73,11626.15,26.70857248,5.45818162,19991408.6,390,1,5,NA,14.43751788,0,0,0,0,0,0,0,0,0,0,0,22.1480273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.08683257,0,37.32762225,0,0,26,26,8.5,8,914,20,,20,,<0.1,<0.001,<0.002,<0.1,<0.005,<3,<3,1.6,1.4,<0.001,0.003,<0.005,<0.002,<0.0005,<0.00001,<0.0002,<0.0002,<0.00005,<0.0001,<0.0002,0.0019,<0.0011,<0.1,<0.001,<0.002,<0.1,<0.005,<3,<3,1.2,0.79,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,0.0003,0.0002,<0.00005,<0.0001,<0.0002,0.0019,,,,,,,,,,,,,,,, ,,,2.153,179.6,1092,1476,69.9,550,3368,0,5.3,32.4,43.8,2.08,16.3,2748,1656,180, , , , , ,P,1.818,1818,0.288,288.3,1.529,1529,36350,36.4,5767,5.767,30584,30.6,84.1,84.8,15.3,2.3,5.1,0.64,34300,312,17300,5800,32.1,43.9,0.33,82.1,1440,1400, , , ,0.0092,91.3,1.04,13.79,13.21,4.44,1.22,6.08,0.062,239.1,,,,0.265,0.323634723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Cecil,52380,Southland,12/02/2019,February,,-45.30439,167.3831,2069795,5529730,G,G,28.45,14,1330511,633.06,0.738,0.738,247,11.756,1112,24.777,0.9953,0,0,452.19,109.4834,0,0,0,0,11.39,2163.68,688,4.33,22.27,0,4.99,0,0.99,29.21,5.39,14349.54,4.297426775,4.732138395,113006354,389.292334,0.99823165,4.99115849,NA,17.98674168,0.316417391,0,0,0,0,0,0,0,0,0,0,12.8665697,0,0,0,29.62824731,0.700809046,0,0,0,0,0,0,0,0,0,0,5.699936985,0,32.80127789,0,0,8.9,8.6,7,????,633,6,,6,,<0.1,<0.001,0.0064,<0.1,<0.005,3,3,1.7,1.9,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,0.0002,0.0004,<0.00005,<0.0001,<0.0002,0.0014,<0.0006,<0.1,<0.001,0.0063,<0.1,<0.005,4,3.33,1.8,1.8,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0007,<0.00005,<0.0001,<0.0002,0.0023,,,,,,,,,,,,,,,,0.001,0.15,0.9832,0.976976063,40.98242086,841.5393844,755.5,328.867831,270,2238,0.044,1.8,37.6,33.8,14.7,12.1,1639,797,42, ,4.28,59.28,26.15,362.54,P,2.222,2222,0.306,305.8,1.916,1916,44436,44.4,6116,6.116,38320,38.3,86.2,75.1,24.9,1,10.6,0.76,45100,400,25400,10100,16.7,41.6,0.17,91,1210,1700,37.67,62.33,0,0.009,225.9,1.17,24.1,20.67,6.28,1.08,20.53,0.05,1012.4,,,,0.437,0.47016116,0,0,0,0,0,0.14,0.71,1.75,4.29,10.41,21.38,24.96,28.75,33.19,37.67,42.12,47.18,52.54,57.87,63.15,68.1,72.73,77.02,81.06,84.1,87.22,89.88,92.15,94.41,96.2,97.71,98.82,99.56,99.93,100,100,100,100,15.1,96.6,504
Lake Orbell,52475,Southland,12/02/2019,February,,-45.29316,167.67046,2092198,5532577,E,G,40.71,34.5,4676367,880.67,0.952,0.952,248,11.813,1241,34.857,0.9953,0,0,2.22,0,0,0,0,0,10.26,2010.56,1581,3.75,29.63,0,4.56,0,1,23.61,5.25,36721.1,160.045113,4.261605024,10664954.9,397.418938,1,4.70783138,15.3975439,0.778464812,0,0,0,0,0,0,0,0,0,0,0,0.168199613,0.623128669,0,0,33.94831614,0,0,0,0,0,0,0,0,0,0,0,11.30704998,0,53.17484079,0,0,15,14.8,,4.1,881,14,,14,,<0.1,<0.001,<0.002,<0.1,<0.005,7,5.33,3.1,3.2,<0.001,0.022,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0002,<0.00005,<0.0001,<0.0002,0.0021,<0.0006,<0.1,<0.001,0.0092,<0.1,<0.005,3,<3,2.9,2.9,<0.001,0.011,<0.005,<0.002,<0.0005,0.00001,<0.0002,0.0003,<0.00005,<0.0001,<0.0002,0.0024,,,,,,,,,,,,,,,,0.014,9.78,0.3278,0.209174513,67.95538483,323.36599,839.5,111.7327201,320,1663,0.02,4.1,19.4,50.5,6.72,19.2,1231,908,68, ,0.97,14.43,4.44,66.12,P,2.17,2170,0.229,229.1,1.941,1941,43395,43.4,4582,4.582,38813,38.8,89.4,71.4,28.6,1.4,11.4,0.92,94700,2830,29300,6240,15,43.2,0.11,53.6,1640,1700,32.93,66.23,0.84,0.0304,179.3,0.64,20.51,32.03,5.61,0.6,4.76,0.133,918.7,,,,1.26,0.75628245,0,0,0,0,0,0.14,0.72,1.9,4.54,10.32,19.62,22.48,25.5,29.1,32.93,36.94,41.78,47.17,52.67,58.02,62.81,66.95,70.41,73.47,75.78,78.41,81.04,83.73,86.95,89.88,92.72,95.13,97,98.32,99.16,99.66,99.92,100,15.2,115,846
Lake 52487,52487,Southland,03/02/2019,February,,-45.34647,167.87068,2108220,5527664,F,R,12.88,2,85013,354.31,0.696,0.696,242,11.707,2644,94.043,0.7069,0,48.41,0.13,0,0,0,0,0,13.8,2158.33,230,3.08,0,0,4,0,4,1.45,8.91,52439.87,919.9463419,2.86924994,33729.992,404,2,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.79323748,0,0,0,38.20676252,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6,1.1,,354,4,,4,,0.72,0.002,<0.002,0.71,0.096,7,3.67,7,10.3,0.001,0.012,0.011,0.011,<0.0005,0.00002,0.0005,0.0007,0.0002,<0.0001,0.0003,0.0083,0.0091,4.06,<0.005,<0.005,4.06,0.9,9,6.33,6.9,11.4,0.002,0.0062,3.267,0.708,<0.0005,<0.00001,<0.0002,<0.0002,0.0001,<0.0001,<0.0002,0.0048,,,,,,,,,,,,,,,,0.024,0.162,17.1356,16.54090928,263.373031,216.4450045,914.8,9.056570359,580,2001,0.856,13.2,10.8,45.7,0.45,29,1412,1195,281, ,103.94,154.31,105.44,156.54,P,1.308,1308,0.051,50.7,1.257,1257,26152,26.2,1014,1.014,25137,25.1,94.7,29.2,70.8,No results,38.1,2.7,5660,279,9500,4200,32.2,13.5,0.29,50.6,1620,3980,19.53,79.39,1.05,0.0501,606.5,3.47,6.73,1.94,16.67,9.64,0.82,0.001,1694,,,,0.019,0.178693296,0,0,0,0,0,0,0.04,0.63,1.78,4.06,8.83,10.74,13,16.01,19.53,23.52,28.71,34.99,41.95,49.56,57.19,64.6,71.52,77.83,82.27,86.3,89.21,91.29,93.03,94.33,95.5,96.54,97.45,98.25,98.92,99.44,99.78,99.97,34.7,150,530
Lake Nigel,53145,Southland,14/02/2019,February,,-45.29487,168.42836,2151435,5535895,G,G,17.67,16.6,975013,861.35,0.837,0.837,52,1.087,605,11.994,0.9919,0,0,84.23,43.2448,0,0,0,0,12.04,2162.5,660,4.06,0,0,3.64,0,3.14,24.81,4.36,78361.08,16.39371836,4.502379894,21708296.2,443.031525,1.06133664,3.81049752,9.35112381,6.007471762,0,0,0,0,0,0,0,5.611191874,0,0,0,12.64561481,0.354642291,0,0,0,0,0,0.04025911,0,0,0,0,0,0,0,0,8.908269997,0,66.43255015,0,0,17.5,,3.4,5.8,861,15,,15,,<0.1,<0.001,<0.002,<0.1,<0.005,6,3.67,2.1,2.1,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0005,<0.00005,<0.0001,0.0002,<0.001,<0.0006,0.18,0.004,0.013,0.16,0.005,8,4.67,2.9,2.8,0.0047,0.017,0.088,<0.002,0.0006,<0.00001,<0.0002,0.0028,0.0004,<0.0001,0.0006,0.0034,,,,,,,,,,,,,,,,0.004,0.034,0.0984,0.0908,177,251.8,474.4,380.7,150,1434,0.007,12.3,17.6,33.1,26.55,10.5,903,651,177, ,2.42,0,57,0,P,3.436,3436,1.178,1178.1,2.258,2258,68722,68.7,23562,23.562,45160,45.2,65.7,93.1,6.9,1.2,1.95,0.13,40700,751,27800,16000,19.6,39.5,0.081,86.2,931,620,76.33,23.67,0,0.0188,54,1.41,34.28,24.25,1.4,1.5,1.42,0.065,335.2,,,,0.106,0.158116538,0,0,0,0,0,1.61,4.97,11.85,25.68,44.29,62.2,66.13,69.7,73.25,76.33,79.06,81.82,84.44,86.82,88.95,90.79,92.42,93.87,95.27,96.34,97.48,98.43,99.16,99.7,99.97,100,100,100,100,100,100,100,100,3.41,19.2,164
Lake Von River Valley,53163,Southland,17/02/2019,February,,-45.2419,168.2984,2141067,5541350,F,G,18.69,10.9,680091,687.47,0.619,0.449,47,1.323,1074,24.629,0.6266,0,0,0.08,17.7619,0,18,0,0,12.8,2234.13,580,3.38,0,0,2.88,0,3.55,14.35,7.27,68408.16,202.5753417,3.424453259,1225386.5,442.456522,1,3.44444442,61.8447228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.40805634,43.10024678,0,0,0,0,0,0,0,0,0,0,0,44.49169688,0,0,13.3,11.6,4.4,8.5,687,9.5,,9.5,,0.38,<0.001,<0.002,0.38,0.007,<3,<3,5.4,5.7,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0003,<0.00005,<0.0001,<0.0002,0.0025,0.0017,0.4,<0.001,<0.002,0.4,0.014,<3,<3,4.5,4.8,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,0.0003,0.0004,<0.00005,<0.0001,<0.0002,0.0019,,,,,,,,,,,,,,,, , , , , , , , , ,,,,,,,,,,, , , , , , , , , , , , , , , , , , , ,66.4,33.6,2.6,14.9,1.5,12700,138,16000,5600,9.28,13.1,0.088,47.4,1070,4500, , , , ,359.1,2.61,17.17,6.58,14.02,10.18,3.58,0.001,1746.6,,,,0.016,0.162083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Gow,53300,Southland,15/02/2021,February,,-45.47777476,168.8943477,2189021,5517761,G,G,16.32,22.2,1209394,1350.52,0.98,0.98,147,9.593,463,8.688,0.9953,0,0,0.13,0,0,0,0,0,9.55,2135.5,924,4.57,0,0,4,0,3,15.85,3.37,112868.5,118.7079539,5.514662743,3718612.48,441.397222,2,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.107358429,0.232588308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.66005326,0,0,,,,,1350.52,,,,,0.28,<0.001,0.0023,0.27,0.0065,<3,<3,4,7.9,0.0047,0.0321,0.005,<0.002,<0.0005,0.000025,<0.0002,0.00061,<0.00005,<0.00008,0.0002,0.0035,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,1.78,,,,,,,,,,,,,,,,,,,,,,,P,2.539,2539,0.324,324.4,2.215,2215,50788,50.8,6488,6.488,44300,44.3,87.2,83.4,16.6,3,4.4,0.43,20100,311,12600,2260,8.7,24.4,0.069,63.9,980,560,64.3,35.8,0,0.0157,115.8,1.3,14.76,11.38,4.39,0.55,,0.04,,,,,0.146,0.080881832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,53304,Southland,15/02/2021,February,,-45.47713373,168.9278428,2191633,5517962,G,G,27.17,44.6,4041551,1285.31,0.978,0.978,75,2.74,149,1.334,0.994,0,0,0.15,0,0,0,0,0,9.66,2093.79,1449,4.5,0,0,4,0,3,20.04,3.53,114108.8,281.7890242,5.417644978,5235001.34,442.432866,2,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.202274544,1.122059711,0,0,0,0,0,0,0,1.745631858,0,0,0,0,0,0,0,0,95.93003389,0,0,,,,,1285.31,,,,,0.15,<0.001,<0.002,0.15,0.0095,<3,<3,3.7,2.9,0.0011,0.0228,0.006,0.003,<0.0005,0.000023,<0.0002,0.0018,0.0001,<0.00008,0.00021,0.014,0.0012,0.19,<0.001,<0.002,0.19,0.0075,<3,<3,3.4,2.2,0.0014,0.0053,<0.005,<0.002,<0.0005,<0.00002,<0.0002,0.00099,0.00013,<0.00008,0.00028,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
